"parking_details_id","parking_id","spaces","updatedon"
"1","3","-1","Tue, 19 Jul 2022 10:58:57"
"2","2","117","Tue, 19 Jul 2022 10:58:57"
"3","5","-1","Tue, 19 Jul 2022 10:58:57"
"4","4","-1","Tue, 19 Jul 2022 10:58:57"
"5","3","-1","Tue, 19 Jul 2022 10:58:57"
"6","2","117","Tue, 19 Jul 2022 10:58:57"
"7","5","-1","Tue, 19 Jul 2022 10:58:57"
"8","4","-1","Tue, 19 Jul 2022 10:58:57"
"9","3","-1","Tue, 19 Jul 2022 10:58:57"
"10","2","117","Tue, 19 Jul 2022 10:58:57"
"11","5","-1","Tue, 19 Jul 2022 10:58:57"
"12","4","-1","Tue, 19 Jul 2022 10:58:57"
"13","3","-1","Tue, 19 Jul 2022 10:58:57"
"14","2","117","Tue, 19 Jul 2022 10:58:57"
"15","5","-1","Tue, 19 Jul 2022 10:58:57"
"16","4","-1","Tue, 19 Jul 2022 10:58:57"
"17","3","-1","Tue, 19 Jul 2022 10:58:57"
"18","2","117","Tue, 19 Jul 2022 10:58:57"
"19","5","-1","Tue, 19 Jul 2022 10:58:57"
"20","4","-1","Tue, 19 Jul 2022 10:58:57"
"21","3","-1","Tue, 19 Jul 2022 10:58:57"
"22","2","117","Tue, 19 Jul 2022 10:58:57"
"23","5","-1","Tue, 19 Jul 2022 10:58:57"
"24","4","-1","Tue, 19 Jul 2022 10:58:57"
"25","3","-1","Tue, 19 Jul 2022 10:58:57"
"26","2","117","Tue, 19 Jul 2022 10:58:57"
"27","5","-1","Tue, 19 Jul 2022 10:58:57"
"28","4","-1","Tue, 19 Jul 2022 10:58:57"
"29","3","-1","Tue, 19 Jul 2022 10:58:57"
"30","2","117","Tue, 19 Jul 2022 10:58:57"
"31","5","-1","Tue, 19 Jul 2022 10:58:57"
"32","4","-1","Tue, 19 Jul 2022 10:58:57"
"33","3","-1","Tue, 19 Jul 2022 10:58:57"
"34","2","117","Tue, 19 Jul 2022 10:58:57"
"35","5","-1","Tue, 19 Jul 2022 10:58:57"
"36","4","-1","Tue, 19 Jul 2022 10:58:57"
"37","3","-1","Tue, 19 Jul 2022 10:58:57"
"38","2","117","Tue, 19 Jul 2022 10:58:57"
"39","5","-1","Tue, 19 Jul 2022 10:58:57"
"40","4","-1","Tue, 19 Jul 2022 10:58:57"
"41","3","-1","Tue, 19 Jul 2022 10:58:57"
"42","2","117","Tue, 19 Jul 2022 10:58:57"
"43","5","-1","Tue, 19 Jul 2022 10:58:57"
"44","4","-1","Tue, 19 Jul 2022 10:58:57"
"45","3","-1","Tue, 19 Jul 2022 10:58:57"
"46","2","117","Tue, 19 Jul 2022 10:58:57"
"47","5","-1","Tue, 19 Jul 2022 10:58:57"
"48","4","-1","Tue, 19 Jul 2022 10:58:57"
"49","3","-1","Tue, 19 Jul 2022 10:58:57"
"50","2","117","Tue, 19 Jul 2022 10:58:57"
"51","5","-1","Tue, 19 Jul 2022 10:58:57"
"52","4","-1","Tue, 19 Jul 2022 10:58:57"
"53","3","-1","Tue, 19 Jul 2022 10:58:57"
"54","2","117","Tue, 19 Jul 2022 10:58:57"
"55","5","-1","Tue, 19 Jul 2022 10:58:57"
"56","4","-1","Tue, 19 Jul 2022 10:58:57"
"57","3","-1","Tue, 19 Jul 2022 10:58:57"
"58","2","117","Tue, 19 Jul 2022 10:58:57"
"59","5","-1","Tue, 19 Jul 2022 10:58:57"
"60","4","-1","Tue, 19 Jul 2022 10:58:57"
"61","3","-1","Tue, 19 Jul 2022 10:58:57"
"62","2","117","Tue, 19 Jul 2022 10:58:57"
"63","5","-1","Tue, 19 Jul 2022 10:58:57"
"64","4","-1","Tue, 19 Jul 2022 10:58:57"
"65","3","-1","Tue, 19 Jul 2022 10:58:57"
"66","2","117","Tue, 19 Jul 2022 10:58:57"
"67","5","-1","Tue, 19 Jul 2022 10:58:57"
"68","4","-1","Tue, 19 Jul 2022 10:58:57"
"69","3","-1","Tue, 19 Jul 2022 10:58:57"
"70","2","117","Tue, 19 Jul 2022 10:58:57"
"71","5","-1","Tue, 19 Jul 2022 10:58:57"
"72","4","-1","Tue, 19 Jul 2022 10:58:57"
"73","3","-1","Tue, 19 Jul 2022 10:58:57"
"74","2","117","Tue, 19 Jul 2022 10:58:57"
"75","5","-1","Tue, 19 Jul 2022 10:58:57"
"76","4","-1","Tue, 19 Jul 2022 10:58:57"
"77","3","-1","Tue, 19 Jul 2022 10:58:57"
"78","2","117","Tue, 19 Jul 2022 10:58:57"
"79","5","-1","Tue, 19 Jul 2022 10:58:57"
"80","4","-1","Tue, 19 Jul 2022 10:58:57"
"81","3","-1","Tue, 19 Jul 2022 10:58:57"
"82","2","117","Tue, 19 Jul 2022 10:58:57"
"83","5","-1","Tue, 19 Jul 2022 10:58:57"
"84","4","-1","Tue, 19 Jul 2022 10:58:57"
"85","3","-1","Tue, 19 Jul 2022 10:58:57"
"86","2","117","Tue, 19 Jul 2022 10:58:57"
"87","5","-1","Tue, 19 Jul 2022 10:58:57"
"88","4","-1","Tue, 19 Jul 2022 10:58:57"
"89","3","-1","Tue, 19 Jul 2022 10:58:57"
"90","2","117","Tue, 19 Jul 2022 10:58:57"
"91","5","-1","Tue, 19 Jul 2022 10:58:57"
"92","4","-1","Tue, 19 Jul 2022 10:58:57"
"93","3","-1","Tue, 19 Jul 2022 10:58:57"
"94","2","117","Tue, 19 Jul 2022 10:58:57"
"95","5","-1","Tue, 19 Jul 2022 10:58:57"
"96","4","-1","Tue, 19 Jul 2022 10:58:57"
"97","3","-1","Tue, 19 Jul 2022 10:58:57"
"98","2","117","Tue, 19 Jul 2022 10:58:57"
"99","5","-1","Tue, 19 Jul 2022 10:58:57"
"100","4","-1","Tue, 19 Jul 2022 10:58:57"
"101","3","-1","Tue, 19 Jul 2022 10:58:57"
"102","2","117","Tue, 19 Jul 2022 10:58:57"
"103","5","-1","Tue, 19 Jul 2022 10:58:57"
"104","4","-1","Tue, 19 Jul 2022 10:58:57"
"105","3","-1","Tue, 19 Jul 2022 10:58:57"
"106","2","117","Tue, 19 Jul 2022 10:58:57"
"107","5","-1","Tue, 19 Jul 2022 10:58:57"
"108","4","-1","Tue, 19 Jul 2022 10:58:57"
"109","3","-1","Tue, 19 Jul 2022 10:58:57"
"110","2","117","Tue, 19 Jul 2022 10:58:57"
"111","5","-1","Tue, 19 Jul 2022 10:58:57"
"112","4","-1","Tue, 19 Jul 2022 10:58:57"
"113","3","-1","Tue, 19 Jul 2022 10:58:57"
"114","2","117","Tue, 19 Jul 2022 10:58:57"
"115","5","-1","Tue, 19 Jul 2022 10:58:57"
"116","4","-1","Tue, 19 Jul 2022 10:58:57"
"117","3","-1","Tue, 19 Jul 2022 10:58:57"
"118","2","117","Tue, 19 Jul 2022 10:58:57"
"119","5","-1","Tue, 19 Jul 2022 10:58:57"
"120","4","-1","Tue, 19 Jul 2022 10:58:57"
"121","3","-1","Tue, 19 Jul 2022 10:58:57"
"122","2","117","Tue, 19 Jul 2022 10:58:57"
"123","5","-1","Tue, 19 Jul 2022 10:58:57"
"124","4","-1","Tue, 19 Jul 2022 10:58:57"
"125","3","-1","Tue, 19 Jul 2022 10:58:57"
"126","2","117","Tue, 19 Jul 2022 10:58:57"
"127","5","-1","Tue, 19 Jul 2022 10:58:57"
"128","4","-1","Tue, 19 Jul 2022 10:58:57"
"129","3","-1","Tue, 19 Jul 2022 10:58:57"
"130","2","117","Tue, 19 Jul 2022 10:58:57"
"131","5","-1","Tue, 19 Jul 2022 10:58:57"
"132","4","-1","Tue, 19 Jul 2022 10:58:57"
"133","3","-1","Tue, 19 Jul 2022 10:58:57"
"134","2","117","Tue, 19 Jul 2022 10:58:57"
"135","5","-1","Tue, 19 Jul 2022 10:58:57"
"136","4","-1","Tue, 19 Jul 2022 10:58:57"
"137","3","-1","Tue, 19 Jul 2022 10:58:57"
"138","2","117","Tue, 19 Jul 2022 10:58:57"
"139","5","-1","Tue, 19 Jul 2022 10:58:57"
"140","4","-1","Tue, 19 Jul 2022 10:58:57"
"141","3","-1","Tue, 19 Jul 2022 10:58:57"
"142","2","117","Tue, 19 Jul 2022 10:58:57"
"143","5","-1","Tue, 19 Jul 2022 10:58:57"
"144","4","-1","Tue, 19 Jul 2022 10:58:57"
"145","3","-1","Tue, 19 Jul 2022 10:58:57"
"146","2","117","Tue, 19 Jul 2022 10:58:57"
"147","5","-1","Tue, 19 Jul 2022 10:58:57"
"148","4","-1","Tue, 19 Jul 2022 10:58:57"
"149","3","-1","Tue, 19 Jul 2022 10:58:57"
"150","2","117","Tue, 19 Jul 2022 10:58:57"
"151","5","-1","Tue, 19 Jul 2022 10:58:57"
"152","4","-1","Tue, 19 Jul 2022 10:58:57"
"153","3","-1","Tue, 19 Jul 2022 10:58:57"
"154","2","117","Tue, 19 Jul 2022 10:58:57"
"155","5","-1","Tue, 19 Jul 2022 10:58:57"
"156","4","-1","Tue, 19 Jul 2022 10:58:57"
"157","3","-1","Tue, 19 Jul 2022 10:58:57"
"158","2","117","Tue, 19 Jul 2022 10:58:57"
"159","5","-1","Tue, 19 Jul 2022 10:58:57"
"160","4","-1","Tue, 19 Jul 2022 10:58:57"
"161","3","-1","Tue, 19 Jul 2022 10:58:57"
"162","2","117","Tue, 19 Jul 2022 10:58:57"
"163","5","-1","Tue, 19 Jul 2022 10:58:57"
"164","4","-1","Tue, 19 Jul 2022 10:58:57"
"165","3","-1","Tue, 19 Jul 2022 10:58:57"
"166","2","117","Tue, 19 Jul 2022 10:58:57"
"167","5","-1","Tue, 19 Jul 2022 10:58:57"
"168","4","-1","Tue, 19 Jul 2022 10:58:57"
